 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__19_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__20_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__21_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__22_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__23_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__24_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__25_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__26_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__27_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__28_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__29_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__30_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__31_  (DFFR_X1)
      10                6(6/0)                0(0/0)             0(0/0/0/0/0)       0                4(4/0)   60.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__0_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__1_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__2_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__3_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__4_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__5_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__6_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__7_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__8_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__9_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__10_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__11_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__12_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__13_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__14_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__15_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__16_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__17_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__18_  (DFFR_X1)
